! I stole/borrowed this list from Greg Thompson below at the UCAR RAP site. Thus all credit for making this very long
! list goes to him. I just deleted some headers and rearranged some stuff to improve searchability.
!
! Edited for use in ClimoBuilder by: Warren Pettee
!
! Original Content:
!
! Author: Greg Thompson  NCAR/RAP
!         please mail corrections to gthompsn (at) ucar (dot) edu
! Date: 20 Feb 2015
! This file is continuously maintained at:
! http://www.rap.ucar.edu/weather/surface/stations.txt
!
! This file is organized by state alphabetically, then by Canadian
! province and then all other stations.  The file was compiled from lists
! of the following:
!      METAR sites
!      NEXRADs
!      rawinsonde sites
!      wind profilers
!      WFOs, RFCs, NCEP-Centers
!      AIRMET/SIGMET station list (VORs?)
!      ARTCCs (Air Route Traffic Control Centers - FAA)
!      old SAO sites for archive data access  (flagged in a special manner)
!
!   Country abbreviations from ISO 3166
!   source:  ftp://ftp.fu-berlin.de/doc/iso/iso3166-countrycodes.txt
!   another: http://www.iso.org/iso/en/prods-services/iso3166ma/02iso-3166-code-lists/list-en1.html
!
!   CD = 2 letter state (province) abbreviation
!   STATION = 16 character station long name
!   ICAO = 4-character international id
!   IATA = 3-character (FAA) id
!   SYNOP = 5-digit international synoptic number
!   LAT = Latitude (degrees minutes)
!   LON = Longitude (degree minutes)
!   ELEV = Station elevation (meters)
!   M = METAR reporting station.   Also Z=obsolete? site
!   N = NEXRAD (WSR-88D) Radar site
!   V = Aviation-specific flag (V=AIRMET/SIGMET end point, A=ARTCC T=TAF U=T+V)
!   U = Upper air (rawinsonde=X) or Wind Profiler (W) site
!   A = Auto (A=ASOS, W=AWOS, M=Meso, H=Human, G=Augmented) (H/G not yet impl.)
!   C = Office type F=WFO/R=RFC/C=NCEP Center
!   Digit that follows is a priority for plotting (0=highest)
!   Country code (2-char) is last column
!
!23456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
!
CD,STATION,ICAO,IATA,SYNOP,LAT,LONG,ELEV,M,N,V,U,A,C,,
AK,KALTAG,PAKV,KAL,,6420N,15845W,61,X,,,,A,,7,US
AK,KENAI,PAEN,ENA,70259,6034N,15115W,27,X,,T,,A,,6,US
AK,KETCHIKAN,PAKT,KTN,70395,5521N,13142W,28,X,,T,,A,,6,US
AK,KIANA,PAIK,,,6659N,16026W,51,X,,,,,,8,US
AK,KINGCOVE,PAVC,,,5507N,16216W,47,X,,,,,,8,US
AK,KINGSALMON,PAKN,AKN,70326,5841N,15639W,17,X,,T,X,A,,5,US
AK,KINGSALMON/88D,PAKC,AKC,,5841N,15638W,19,,X,,,,,8,US
AK,KINGSALMONAFS,KQRC,QRC,,5841N,15638W,15,X,,,,,,7,US
AK,KIPNUK,PAKI,IIK,,5956N,16402W,4,X,,,,,,8,US
AK,KIVALINA,PAVL,KVL,,6744N,16433W,3,X,,,,A,,7,US
AK,KLAWOCK,PAKW,AKW,,5535N,13304W,15,X,,,,A,,7,US
AK,KODIAK,PADQ,ADQ,70350,5745N,15230W,34,X,,T,X,A,,5,US
AK,KODIAK,PAKD,KDK,,5748N,15222W,42,,,,,,,8,US
AK,KOLIGANEK,PAJZ,JZZ,,5944N,15716W,82,X,,,,,,8,US
AK,KOTZEBUE,PAOT,OTZ,70133,6652N,16235W,3,X,,T,X,A,,5,US
AK,KOYUK,PAKK,KKA,,6456N,16109W,47,X,,,,,,7,US
AK,KUPARUK,PAKU,UBW,,7019N,14935W,2,X,,,,S,,7,US
AK,MANLEYHOTSPRIN,PAML,MLY,,6500N,15039W,81,X,,,,,,7,US
AK,MANOKOTAK,PAMB,MBA,,5859N,15903W,16,X,,,,,,7,US
AK,MARSHALL,PADM,,,6152N,16202W,31,X,,,,,,8,US
AK,MCCARTHY,PAMX,15Z,,6126N,14255W,455,X,,,,,,7,US
AK,MCGRATH,PAMC,MCG,70231,6258N,15537W,103,X,,T,X,A,,5,US
AK,MCKINLEYPARK,PAIN,INR,,6344N,14855W,524,X,,,,,,7,US
AK,MEKORYUK,PAMY,MYU,,6022N,16616W,13,X,,,,,,7,US
AK,METLAKATLA,PAMM,MTM,,5508N,13135W,1,X,,,,,,7,US
AK,MIDDLETONISLAND,PAMD,MDO,70343,5926N,14618W,14,X,,,,,,7,US
AK,MIDDLETONIS88D,PAIH,AIH,,5928N,14618W,20,,X,,,,,8,US
AK,MINCHUMINA,PAMH,MHM,70246,6354N,15219W,214,X,,,,,,7,US
AK,MOUNTAINVILLAGE,PAMO,MOU,,6206N,16341W,103,X,,,,W,,7,US
AK,NABESNA,PABN,IBN,,6224N,14300W,880,X,,,,,,7,US
AK,NELSONLAGOON,PAOU,,,5600N,16110W,4,X,,,,,,8,US
AK,NENANA,PANN,ENN,70260,6433N,14905W,110,X,,,,A,,7,US
AK,NEWSTUYAHOK,PANW,KNW,,5927N,15722W,92,X,,,,,,8,US
AK,NIKOLAI,PAFS,FSP,,6301N,15421W,126,X,,,,,,7,US
AK,NOME,PAOM,OME,70200,6430N,16526W,11,X,,T,X,A,,5,US
AK,NOME/88D/PAEC,,,,6431N,16518W,16,,X,,,,,6,US
AK,CHULITNA,PAEC,AEC,,6253N,14950W,381,X,,,,,,7,US
AK,NORTHWAY,PAOR,ORT,70291,6258N,14156W,523,X,,T,,A,,6,US
AK,NOATAK,PAWN,WTK,,6734N,16259W,30,X,,,,,,7,US
AK,NOORVIK,PFNO,D76,,6649N,16101W,17,X,,,,,,7,US
AK,NUIQSUT,PAQT,AQT,,7013N,15100W,12,X,,T,,A,,6,US
AK,NUIQSUTVILLAGE,PALP,,,7020N,15056W,5,X,,,,,,7,US
AK,OLIKTOKPOINT,POLI,OLI,70063,7030N,14953W,5,X,,,,,,7,US
AK,PALMER,PAAQ,PAQ,70274,6136N,14905W,73,X,,T,,A,,6,US
AK,PAXSON,PAXK,PXK,,6302N,14530W,809,X,,,,,,7,US
AK,PETERSBURG,PAPG,PSG,70386,5649N,13258W,15,X,,T,,,,6,US
AK,PILOTPOINT,PAPN,PNP,,5735N,15734W,18,X,,,,,,8,US
AK,PLATINUM,PAPM,PTU,,5901N,16149W,5,X,,,,,,7,US
AK,POINTHOPE,PAPO,PHO,,6821N,16648W,6,X,,,,W,,7,US
AK,POINTLAY,PPIZ,PIZ,70121,6944N,16300W,8,X,,,,W,,7,US
AK,PORTALEXANDER,PAAP,AHP,,5614N,13439W,6,X,,,,,,7,US
AK,PORTALSWORTH,PALJ,TPO,,6012N,15418W,81,X,,,,,,7,US
AK,PORTCLARENCE,PAPC,KPC,70119,6515N,16651W,3,X,,,,,,7,US
AK,PORTHEIDEN,PAPH,PTH,70333,5657N,15837W,29,X,,,,,,7,US
AK,PORTAGEGLACIER,PATO,POR,,6047N,14851W,31,X,,,,A,,7,US
AK,PROSPECTCREEK,PAPR,PPC,,6649N,15039W,335,X,,,,,,7,US
AK,PRUDHOEBAY,PAUD,PUO,,7015N,14820W,12,X,,,,,,7,US
AK,PUNTILLALAKE,PAPT,PTI,70249,6206N,15243W,558,X,,,,,,7,US
AK,REGDOG,PARD,,,6802N,16254W,297,X,,,,,,7,US
AK,REGDOG,PADG,DGG,,6802N,16254W,297,X,,,,,,7,US
AK,RUBY,PARY,RBY,,6444N,15528W,199,X,,,,,,7,US
AK,RUSSIANMISSION,PARS,RSH,,6146N,16119W,16,X,,,,W,,7,US
AK,SAINTMARYS,PASM,KSM,,6204N,16318W,92,X,,,,,,7,US
AK,SANDPOINT,PASD,SDP,,5520N,16030W,7,X,,T,,,,7,US
AK,SAVOONGA,PASA,SVA,,6341N,17030W,16,X,,,,,,7,US
AK,SCAMMONBAY,PACM,SCM,,6151N,16534W,4,X,,,,,,7,US
AK,SELAWIK,PASK,WLK,,6636N,16000W,8,X,,,,,,7,US
AK,SELDOVIA,PASO,SOV,,5927N,15142W,9,X,,,,A,,7,US
AK,SEWARD,PAWD,SWD,70277,6007N,14925W,23,X,,,,A,,7,US
AK,SHAKTOOLIK,PFSH,2C7,,6422N,16113W,7,X,,,,,,8,US
AK,SHISHMAREF,PASH,SHH,,6616N,16605W,2,X,,,,,,7,US
AK,SHUNGNAK,PAGH,SHG,,6653N,15710W,60,X,,,,,,8,US
AK,SITKA,PASI,SIT,70371,5704N,13521W,5,X,,T,,A,,6,US
AK,SITKA/BIORKA/88D,PACG,ACG,,5651N,13532W,63,,X,,,,,8,US
AK,SKAGWAY,PAGY,SGY,70362,5928N,13518W,5,X,,T,,A,,6,US
AK,SKWENTNA,PASW,SKW,70255,6158N,15112W,48,X,,,,,,7,US
AK,SLANA,PADT,DDT,,6243N,14351W,730,X,,,,,,7,US
AK,SLEETMUTE,PASL,SLQ,,6143N,15709W,55,X,,,,,,7,US
AK,SNOWSHOELAKE,PALK,LLK,,6202N,14240W,735,X,,,,,,7,US
AK,SOLDOTNA,PASX,SXQ,,6029N,15102W,32,X,,,,,,7,US
AK,SPARREVOHN,PASV,SVW,70235,6106N,15534W,484,X,,T,,,,7,US
AK,STGEORGE,PAPB,PBV,,5635N,16940W,35,X,,,,A,,7,US
AK,STMICHAEL,PAMK,,,6329N,16207W,28,X,,,,,,8,US
AK,STPAULISLAND,PASN,SNP,70308,5709N,17013W,29,X,,T,X,A,,5,US
AK,STONYRIVERLAND,PAER,ERW,,6116N,15348W,345,X,,,,,,7,US
AK,SUTTON,PAJV,JVM,,6143N,14853W,263,X,,,,,,7,US
AK,TAHNETNAPASSLO,PASP,SMU,,6149N,14733W,799,X,,,,,,7,US
AK,TALKEETNA,PATK,TKA,70251,6218N,15006W,109,X,,T,,A,,6,US
AK,TALKEETNAPROF,,TLK,70252,6219N,15025W,137,,,,W,,,8,US
AK,TANANA,PATA,TAL,70178,6510N,15206W,67,X,,T,,A,,6,US
AK,TATALINAAFS,PATL,TLJ,,6254N,15558W,294,X,,T,,,,6,US
AK,TELLER,PATE,,,6514N,16620W,90,X,,,,,,8,US
AK,TINCITYAFS,PATC,TNC,70117,6534N,16755W,83,X,,T,,,,6,US
AK,TOGIAK,PATG,TOG,,5903N,16023W,4,X,,,,,,7,US
AK,TOKSOOKBAY,PAOO,,,6032N,16507W,18,X,,,,W,,7,US
AK,UMIAT,PAUM,UMT,70162,6922N,15208W,104,X,,,,,,7,US
AK,UNALAKLEET,PAUN,UNK,70207,6353N,16048W,6,X,,T,,,,6,US
AK,DUTCHHARBOR,PADU,DUT,70489,5354N,16632W,4,X,,T,,,,6,US
AK,VALDEZ,PAVD,VDZ,,6108N,14615W,37,X,,T,,,,6,US
AK,VALDEZWSO,PAVW,VWS,70275,6108N,14621W,11,X,,,,,,7,US
AK,WAINWRIGHT,PAWI,AWI,70030,7037N,15951W,27,X,,,,A,,7,US
AK,WALES,PAIW,,,6537N,16806W,7,X,,,,,,8,US
AK,WASILLA,PAWS,IYS,,6134N,14932W,107,X,,,,,,7,US
AK,WHITEMOUNTAIN,PAWM,WMO,,6441N,16325W,82,X,,,,W,,8,US
AK,WHITTIER,PAWR,IEM,,6047N,14843W,47,X,,,,,,7,US
AK,WILLOW,PAUO,UUO,,6145N,15003W,69,X,,,,,,7,US
AK,WOLVERINEROAD,PAIZ,IZY,,6138N,14902W,236,X,,,,,,7,US
AK,WRANGELL,PAWG,WRG,70387,5629N,13222W,11,X,,T,,,,6,US
AK,YAKUTAT,PAYA,YAK,70361,5931N,13940W,11,X,,T,X,A,,5,US
AK,ALASKANARTCC,PZ74,Z74,,6009N,16417W,1,,,A,,,,8,US
AK,ALASKANARTCC,PZ76,Z76,,6515N,13439W,647,,,A,,,,8,US
AL,ALABASTER,KEET,EET,,3311N,08647W,173,X,,T,,A,,3,US
AL,ALBERTVILLEMUNI,K8A0,8A0,,3414N,08615W,315,X,,,,,,7,US
AL,ALEXANDER/RUSSEL,KALX,ALX,,3255N,08558W,209,X,,,,W,,7,US
AL,ANDALUSIA/OPPAR,K79J,79J,,3119N,08624W,94,X,,,,W,,8,US
AL,ANNISTON,KANB,ANB,,3335N,08551W,183,X,,T,,A,,6,US
AL,AUBURNUNIV.(AM,KAUB,AUB,,3236N,08530W,198,X,,,,,,7,US
AL,AUBURNOPELIKAA,KAUO,AUO,,3237N,08525W,236,X,,,,,,7,US
AL,BIRMINGHAM,KBHM,BHM,72228,3334N,08645W,197,X,,T,,A,,4,US
AL,BRMNGHM/ALABASTR,KBMX,BMX,72230,3310N,08646W,197,,X,,X,,F,8,US
AL,OZARK/CAIRNSAAF,KOZR,OZR,,3117N,08543W,93,X,,T,,,,6,US
AL,CENTREVILLEWSM,K0A8,0A8,72229,3256N,08705W,77,X,,S,,,,6,US
AL,COURTLAND,K9A4,9A4,,3440N,08721W,179,X,,,,W,,8,US
AL,CULLMAN/FOLSOMF,K3A1,3A1,,3416N,08651W,294,X,,,,W,,7,US
AL,CULLMAN/FOLSOMF,KCMD,CMD,,3416N,08651W,294,X,,,,W,,7,US
AL,DECATUR,KDCU,DCU,,3439N,08657W,176,X,,,,A,,7,US
AL,DEMOPOLIS,KDYA,DYA,,3228N,08757W,34,X,,,,,,7,US
AL,DOTHAN,KDHN,DHN,,3119N,08527W,113,X,,T,,A,,6,US
AL,EUFAULA,KEUF,EUF,,3157N,08508W,87,X,,,,W,,8,US
AL,EVERGREEN,KGZH,GZH,,3125N,08703W,78,X,,,,A,,7,US
AL,FAIRHOPE,KCQF,CQF,,3028N,08753W,28,X,,,,W,,8,US
AL,FLORALAMUNI,K0J4,0J4,,3103N,08619W,96,X,,,,,,8,US
AL,FTPAYNE/ISBELL,K4A9,4A9,,3428N,08543W,267,X,,,,W,,7,US
AL,FTRUCKER88D,KEOX,EOX,,3128N,08528W,132,,X,,,,,8,US
AL,FTRUCKER/SHELL,KSXS,SXS,,3122N,08551W,122,X,,,,,,7,US
AL,FTRUCKER/HANCHE,KHEY,HEY,,3121N,08539W,97,X,,,,,,8,US
AL,GADSDENMUNI,KGAD,GAD,,3358N,08604W,173,X,,,,W,,7,US
AL,GREENVILLE,KPRN,PRN,,3151N,08637W,138,X,,,,,,8,US
AL,GULFSHORES,KJKA,JKA,,3017N,08740W,5,X,,,,,,7,US
AL,HALEYVILLE,K1M4,1M4,,3417N,08736W,284,X,,,,,,8,US
AL,HUNTSVILLE,KHSV,HSV,72323,3439N,08647W,191,X,,T,,A,,4,US
AL,HUNTSVILLE/MADIS,KMDQ,MDQ,,3452N,08633W,230,X,,,,W,,8,US
AL,HYTOP/88D,KHTX,HTX,,3456N,08605W,536,,X,,,,,8,US
AL,JASPER/WALKER,KJFX,JFX,,3354N,08719W,148,X,,,,,,8,US
AL,LOWEAHP/FT.RUC,KLOR,LOR,,3121N,08545W,74,X,,,,,,7,US
AL,MAXWELLAFB88D,KMXX,MXX,,3232N,08547W,122,,X,,,,,8,US
AL,MAXWELLAFB/MGM,KMXF,MXF,,3222N,08622W,51,X,,T,,,,6,US
AL,MOBILE/BROOKLEY,KBFM,BFM,,3037N,08804W,20,X,,T,,A,,7,US
AL,MOBILE/BATES,KMOB,MOB,72223,3041N,08815W,63,X,X,T,,A,F,3,US
AL,MONTGOMERY,KMGM,MGM,72226,3218N,08624W,63,X,,U,,A,,4,US
AL,MUSCLESHOAL,KMSL,MSL,,3445N,08736W,164,X,,U,,A,,6,US
AL,MONROEVILLE,KMVC,MVC,,3127N,08721W,128,,,,,,,8,US
AL,PHIOILPLAT,KRAM,RAM,,2903N,08805W,10,X,,,,H,,8,US
AL,REDSTONEARSENAL,KHUA,HUA,74001,3441N,08641W,209,X,,,,W,,8,US
AL,SCOTTSBORO,K4A6,4A6,,3441N,08600W,198,X,,,,,,8,US
AL,SEMMNESVOR,KSJI,SJI,,3044N,08822W,63,,,V,,,,8,US
AL,TALLADEGA,KASN,ASN,,3334N,08603W,162,X,,T,,,,8,US
AL,TROY,KTOI,TOI,,3151N,08601W,118,X,,T,,A,,7,US
AL,TUSCALOOSA,KTCL,TCL,,3313N,08737W,49,X,,T,,A,,6,US
AL,VULCANVOR,KVUZ,VUZ,,3340N,08654W,250,,,V,,,,8,US
AL,CENTREVILLEWSM,KCKL,CKL,,3253N,08715W,140,Z,,,,,,8,US
AL,DAUPHINISLAND,K4R9,4R9,99442,3016N,08808W,2,Z,,,,,,8,US
AL,FAIRHOPE,K4R4,4R4,,3028N,08753W,28,Z,,,,,,8,US
AL,HUNTSVILLE/MADIS,KM82,M82,,3451N,08633W,231,Z,,,,,,8,US
AL,VIOSCAKNOLL768,KVOA,VOA,,2914N,08747W,53,X,,,,,,9,US
AR,ARKADELPHIA,KADF,ADF,,3406N,09304W,56,X,,T,,,,8,US
AR,BATESVILLE,KBVX,BVX,,3544N,09139W,141,X,,,,W,,7,US
AR,BENTONVILLE,KH00,H00,,3621N,09413W,395,X,,,,W,,7,US
AR,BENTONVILLE,KVBT,VBT,,3621N,09413W,395,X,,,,W,,7,US
AR,BENTONVILLE(NW),KXNA,XNA,,3617N,09418W,392,X,,T,,,,6,US
AR,BLYTHEVILLE,KHKA,HKA,,3556N,08950W,78,X,,,,A,,7,US
AR,BLYTHEVILLE,KBYH,BYH,,3558N,08957W,78,X,,,,A,,7,US
AR,CAMDEN,KCDH,CDH,,3337N,09246W,35,X,,,,,,8,US
AR,CLINTONMUNI,KCCA,CCA,,3536N,09227W,157,X,,,,,,8,US
AR,CORNING,K4M9,4M9,,3624N,09039W,90,X,,,,,,8,US
AR,DEQUEEN,KDEQ,DEQ,,3403N,09424W,106,X,,,,A,,7,US
AR,DEQUEENPROFILER,KDQU,DQU,74752,3406N,09417W,195,,,,W,,,8,US
AR,ELDORADO,KELD,ELD,,3313N,09249W,81,X,,U,,A,,6,US
AR,FAYETTEVILLE,KFYV,FYV,,3601N,09410W,379,X,,T,,A,,4,US
AR,FLIPPIN(AWOS),KFLP,FLP,,3617N,09235W,219,X,,,,W,,7,US
AR,FORTSMITH,KFSM,FSM,72344,3520N,09422W,140,X,,U,,A,,3,US
AR,SLATINGTONMTN.,KSRX,SRX,,3517N,09422W,195,,X,,,,,8,US
AR,HARRISON,KHRO,HRO,,3616N,09309W,417,X,,T,,A,,6,US
AR,HOTSPRINGS,KHOT,HOT,,3429N,09306W,162,X,,T,,A,,6,US
AR,JONESBORO,KJBR,JBR,,3550N,09039W,79,X,,T,,A,,6,US
AR,LITTLEROCK,KLIT,LIT,,3444N,09214W,79,X,,U,,A,,0,US
